Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"startTuesdayValue = getAttribute(tuesdayThObjectTest, ""textContent"", STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.024s,PASSED
"verifyEqual(nonStartTuesdayValue, startTuesdayValue)",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.102s,PASSED
"waitForElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/select_semanas""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.034s,PASSED
"if (wagerDate != null && wagerDate != """")",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:24,8.343s,PASSED
,,,,,,
Test Cases/PREGAME/SportBook/OpcionReportes(ADP-51),Chrome 70.0.3538.110,"

veririfca que 
Validar que cuando haga click en la opción Reportes -> Pendientes muestre información

Validar que cuando haga click en la opción Reportes -> Resueltas muestre información

Precondiciones:
que el usuario de pruebas tenga al menos una apuesta en estado pendiente y otra en estado resuelta


Tiquete Jira:ADP-51",2018-12-11 15:47:24,2018-12-11 15:47:29,5.048s,FAILED
"dynamicId = "".accordion-body div span b""",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
reportDetail = new com.kms.katalon.core.testobject.TestObject(reportDetail),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
"reportDetail.addProperty(""css"", EQUALS, dynamicId)",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
wagerGradedDetail = new com.kms.katalon.core.testobject.TestObject(wagerGradedDetail),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
wagerDesc = new com.kms.katalon.core.testobject.TestObject(wagerDesc),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
wagerStatus = new com.kms.katalon.core.testobject.TestObject(wagerStatus),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
wagerResultAmountObj = new com.kms.katalon.core.testobject.TestObject(wagerResultAmountObj),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
"wagerDescContest = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
"wagerStatusDesc = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.001s,PASSED
"wagerAmountText = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
"wagerLocatorId = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
"xpathSelector = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
if (individualTestCase == true),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.000s,PASSED
"waitForElementVisible(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_REPORTES""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.031s,PASSED
"waitForElementClickable(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_REPORTES""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.018s,PASSED
"click(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_REPORTES""))",Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:24,0.056s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-11 15:47:24,2018-12-11 15:47:26,2.002s,PASSED
"if (wagerId != null && wagerId != """")",Chrome 70.0.3538.110,,2018-12-11 15:47:26,2018-12-11 15:47:29,2.715s,FAILED
